call_failure,complains,subs_len,charge_amount,seconds_of_use,freq_of_use,freq_of_sms,distinct_call_nums,tariff_plan,status,age,ageGroup,customer_value,Churn
5,0,38,1,3778,85,7,30,1,1,7,1,182.52,0
6,0,37,1,1725,47,43,22,1,1,2,1,242.88,0
9,0,38,1,0,56,180,25,1,1,13,1,940.32,0
7,0,29,2,1375,39,198,13,2,1,7,1,848.56,0
7,0,28,1,1628,42,35,70,1,1,8,1,129.25,0
14,0,29,1,760,28,15,9,1,1,6,1,91.52,0
3,0,28,1,885,13,26,5,1,1,9,1,87.45,0
13,0,27,1,1285,35,24,15,1,1,15,1,167.4,0
5,0,27,1,3285,64,13,25,1,1,10,1,185.96,0
5,0,20,1,1755,29,33,16,1,1,11,1,228.78,0
19,0,19,2,6453,144,90,44,2,1,3,1,701.865,0
15,0,17,1,8993,174,78,42,1,1,7,1,254.505,0
11,0,18,4,2913,48,36,23.5025413,1,1,8,1,262.44,0
5,0,11,2,4450,43,220,12,1,1,7,1,1059.72,0
6,1,11,2,1548,22,5,9,1,1,9,1,82.8,1
5,0,36,0,4310,68,0,15,1,1,15,1,197.01,0
0,0,37,0,258,2,2,2,1,1,14,1,20.7,0
7,0,35,0,2393,57,354,22,1,1,4,1,1703.25,0
7,0,36,0,4138,63,0,33,1,1,0,0,231.055,0
0,0,36,0,2333,55,0,31,1,1,5,1,131.34,0
8,0,36,0,3715,79,27,26,1,1,7,1,259.76,0
1,0,36,0,2300,36,280,16,1,1,14,1,1213.44,0
10,0,35,1,9055,118,139,41,1,1,9,1,922.92,0
4,0,36,0,13713,166,0,42,1,1,8,1,555.16,0
4,0,36,0,4455,80,0,23,1,1,0,0,181.4,0
3,0,36,0,5858,92,2,10,1,1,9,1,276.75,0
6,1,36,0,2178,51,3,15,1,1,15,1,101.16,0
22,0,36,2,15080,222,49,30,1,1,14,1,808.08,0
1,0,36,0,0,24,478,6,1,1,1,1,2034.36,0
6,0,35,0,15425,179,145,28,1,1,9,1,1354.68,0
0,0,35,0,6440,83,181,24,1,1,12,1,984.92,0
0,0,35,0,815,11,0,9,1,1,11,1,37.17,0
0,0,36,0,650,11,8,6,1,1,8,1,65.745,0
0,0,35,0,0,69.49568828,0,0,1,1,13,1,0,1
0,0,35,0,7448,124,379,41,1,1,1,1,2046.24,0
4,0,35,0,11405,151,6,45,1,1,12,1,486.24,0
5,0,35,0,6658,72,103,35,1,1,12,1,766.35,0
20,0,31,0,895,44,11,15,1,1,13,1,91.755,1
18,0,34,7,10375,90,0,40,1,1,29,2,261.625,0
10,0,34,0,5758,95,21,22,1,1,28,2,357.885,1
0,0,32,0,2780,19,0,12,1,1,21,2,111.96,0
6,0,33,0,0,38,4,14,1,1,19,2,151.56,1
6,1,34,0,2208,41,29,29,1,1,21,2,205.96,1
0,1,34,0,0,0,0,0,1,1,16,2,0,1
0,0,34,0,1608,22,0,4,1,1,27,2,65.2,0
0,0,31,0,6725,94,9,20,1,1,24,2,192.975,0
0,0,34,0,568,4,4,2,1,1,24,2,24.3,1
0,0,34,0,0,0,0,0,1,1,20,2,0,0
22,0,29,2,16015,235,0,78,1,1,19,2,731.25,0
3,0,32,2,6905,113,266,31,2,1,17,2,1512.81,0
0,0,34,0,3658,79,73.26223776,26,1,1,29,2,168.165,0
0,0,33,0,1605,41,33,18,1,1,18,2,197.84,0
3,0,34,0,2720,50,170,23.5025413,1,1,27,2,889.65,0
1,0,25,0,1255,33,188,9,2,1,18,2,903.96,0
1,0,24,0,1508,36,25,66,1,1,18,2,101.1,0
8,0,25,0,640,22,5,5,1,1,20,2,52.29,0
0,1,32,0,765,7,16,1,1,1,20,2,59.3,1
7,0,23,0,1165,29,14,11,1,1,26,2,116.73,0
0,0,23,0,3165,58,3,21,1,1,28,2,140.92,0
0,0,16,0,1635,23,23,12,1,1,22,2,178.11,0
13,0,15,0,6333,138,80,40,2,1,27,2,795.905,0
9,0,13,0,8873,168,68,38,1,1,26,2,396.025,0
5,0,14,2,2793,42,26,17,1,1,25,2,217.4,0
0,0,7,0,4330,37,210,8,1,1,23,2,1014.68,0
0,0,7,0,1428,16,73.26223776,5,1,1,20,2,57.76,1
9,0,42,1,4450,73,15,21,1,1,20,2,240.92,0
1,1,43,0,398,7,17,8,1,1,21,2,84.2,1
11,0,41,1,2533,62,369,28,1,1,28,2,1579.8,0
11,0,42,1,4278,68,11,39,1,1,28,2,299.53,0
4,0,42,1,2473,60,12,37,1,1,25,2,167.985,0
12,0,42,2,3855,84,42,32,1,1,29,2,325.56,0
5,0,42,1,2440,41,295,22,1,1,22,2,1279.24,0
14,0,41,3,9195,123,154,47,1,1,19,2,988.72,0
8,0,42,1,13853,171,10,48,1,1,22,2,600.96,0
8,0,42,2,0,85,12,29,1,1,18,2,235.2,0
7,0,42,1,5998,97,17,16,1,1,16,2,311.8,0
10,0,42,0,2318,56,18,21,1,1,20,2,166.96,0
26,0,42,4,15220,227,64,36,2,1,27,2,873.88,0
5,0,42,2,3175,29,493,12,1,1,20,2,2100.16,0
10,0,41,1,15565,184,160,34,1,1,21,2,1428.705,0
4,0,41,2,6580,88,196,30,1,1,24,2,1050.72,0
1,0,41,0,955,16,10,15,1,1,16,2,88.695,0
3,0,42,0,790,16,23,12,1,1,29,2,124.24,0
1,0,41,0,80,2,10,4,1,1,18,2,48.69,1
4,0,41,1,7588,129,394,47,1,1,28,2,1884.68,0
8,0,41,2,11545,156,21,51,1,1,20,2,345.025,0
9,0,41,2,6798,77,118,41,1,1,27,2,840.375,0
24,1,37,0,1035,49,26,21,1,1,21,2,147.36,1
22,1,40,9,10515,95,11,46,1,1,16,2,175.65,0
14,0,32,2,5898,100,36,28,1,1,22,2,431.91,1
2,0,38,1,2920,24,10,18,1,1,27,2,157.76,0
10,0,39,0,3070,43,19,20,1,1,21,2,200.52,1
10,1,40,0,2348,46,44,35,1,1,24,2,271.76,1
1,0,40,0,213,4,10,6,1,1,27,2,48.68,1
2,0,40,1,1748,27,10,10,1,1,22,2,69.375,0
4,0,37,2,6865,99,24,26,1,1,16,2,140.46,0
1,1,40,0,708,9,19,8,1,1,18,2,65.425,1
1,0,40,2,418,6,14,6,1,1,26,2,27.36,0
26,0,35,4,16155,240,10,84,1,1,23,2,782.775,0
7,1,38,4,7045,118,281,37,2,1,28,2,1586.835,0
3,0,40,1,3798,84,12,32,1,1,23,2,203.28,0
4,0,39,0,1745,46,48,24,1,1,24,2,263.64,0
7,0,40,1,2860,55,185,27,1,1,19,2,963.675,0
5,0,31,2,1395,38,203,15,2,1,28,2,977.985,0
5,0,30,1,1648,41,40,72,1,1,23,2,142.225,0
12,0,31,0,780,27,20,11,1,1,27,2,112.28,0
1,0,30,0,905,12,31,7,1,1,24,2,100.425,0
11,0,29,1,1305,34,29,17,1,1,24,2,190.755,0
3,0,29,1,3305,63,18,27,1,1,28,2,206.72,0
3,0,22,1,1775,28,38,18,1,1,25,2,252.135,0
17,0,21,2,6473,143,95,46,2,1,21,2,725.22,0
13,0,19,1,9013,173,83,44,1,1,25,2,262.29,0
9,0,20,4,2933,47,41,23,1,1,16,2,283.2,0
3,0,13,2,4470,42,225,14,1,1,16,2,1080.48,0
4,0,13,2,1568,21,10,11,1,1,20,2,103.56,1
7,0,34,0,4290,69,0,13,1,1,27,2,196.155,0
0,0,35,0,0,0,0,0,1,1,25,2,0,0
9,0,33,0,2373,58,349,20,1,1,18,2,1679.895,0
9,0,34,0,4118,64,0,31,1,1,21,2,230.01,0
2,0,34,0,2313,56,0,29,1,1,23,2,130.295,0
10,0,34,0,3695,80,22,24,1,1,28,2,239,0
3,0,34,0,2280,37,275,14,1,1,24,2,1192.68,0
12,0,33,1,9035,119,134,39,1,1,20,2,902.16,0
6,0,34,0,13693,167,0,40,1,1,16,2,554.4,0
6,0,34,0,4435,81,0,21,1,1,24,2,180.64,0
5,0,34,0,5838,93,0,8,1,1,25,2,266.895,0
8,0,34,0,2158,52,0,13,1,1,16,2,88.4,0
24,0,34,2,15060,223,44,28,1,1,20,2,787.32,0
3,0,34,0,3015,25,473,4,1,1,21,2,2013.6,0
8,0,33,0,15405,180,140,26,1,1,25,2,1331.325,0
2,0,33,0,6420,84,176,22,1,1,25,2,964.16,0
0,0,33,0,795,12,0,7,1,1,22,2,36.315,0
1,0,34,0,630,12,3,4,1,1,27,2,42.39,0
0,0,33,0,0,0,0,0,1,1,18,2,0,1
2,0,33,0,7428,125,374,39,1,1,26,2,2022.885,0
6,0,33,0,11385,152,1,43,1,1,35,3,465.48,0
7,0,33,0,6638,73,98,33,1,1,24,2,742.995,0
22,0,29,0,875,45,6,13,1,1,19,2,68.4,1
20,0,32,7,10355,91,0,38,1,1,26,2,261.15,0
12,1,32,0,5738,96,16,20,1,1,26,2,334.53,1
0,0,30,0,2760,20,0,10,1,1,20,2,111.2,0
8,1,31,0,2910,39,0,12,1,1,18,2,117.96,1
8,0,32,0,2188,42,24,27,1,1,22,2,185.2,1
0,1,32,0,0,0,0,0,1,1,21,2,0,1
0,0,32,0,1588,23,0,2,1,1,26,2,64.44,0
2,0,29,0,6705,95,4,18,1,1,28,2,180,0
0,0,32,0,0,0,0,0,1,1,27,2,0,1
0,0,32,0,0,69.49568828,0,0,1,1,24,2,0,0
24,0,27,2,15995,236,0,76,1,1,17,2,730.395,0
5,0,30,2,6885,114,261,29,2,1,25,2,1489.455,0
1,0,32,0,3638,80,0,24,1,1,26,2,167.31,0
2,0,31,0,1585,42,28,16,1,1,20,2,177.08,0
5,0,32,0,2700,51,165,19,1,1,24,2,866.295,0
3,0,23,0,1235,34,183,7,2,1,27,2,880.605,0
3,0,22,0,1488,37,20,64,1,1,16,2,88.125,0
10,0,23,0,620,23,0,3,1,1,24,2,28.935,0
0,0,22,0,0,0,11,0,1,1,26,2,27.5,0
9,0,21,0,1145,30,9,9,1,1,28,2,93.375,0
1,0,21,0,3145,59,0,19,1,1,17,2,128.16,0
1,0,14,0,1615,24,18,10,1,1,16,2,154.755,0
15,0,13,0,6313,139,75,38,2,1,18,2,767.36,0
11,0,11,0,8853,169,63,36,1,1,29,2,383.05,0
7,0,12,2,2773,43,21,15,1,1,20,2,196.64,0
1,0,5,0,4310,38,205,6,1,1,24,2,993.92,0
2,0,5,0,1408,17,0,3,1,1,21,2,57,1
13,0,44,1,4630,81,20,23,1,1,19,2,268.44,0
5,0,45,0,578,15,22,10,1,1,27,2,111.72,0
15,0,43,1,2713,70,374,30,1,1,17,2,1607.32,0
15,0,44,1,4458,76,16,41,1,1,20,2,337.37,0
8,0,44,1,2653,68,17,39,1,1,25,2,198.945,0
16,0,44,2,4035,92,47,34,1,1,25,2,353.08,0
9,0,44,1,2620,49,300,24,1,1,18,2,1306.76,0
18,0,43,3,9375,131,159,49,1,1,26,2,1016.24,0
12,0,44,1,0,179,15,50,1,1,27,2,628.48,0
12,0,44,2,4775,93,17,31,1,1,28,2,262.72,0
11,0,44,1,6178,105,22,18,1,1,24,2,339.32,0
14,1,44,0,2498,64,23,23,1,1,21,2,194.48,0
30,0,44,4,15400,235,69,38,1,1,21,2,901.4,0
9,0,44,2,3355,37,498,14,1,1,26,2,2127.68,0
14,0,43,1,15745,192,165,36,1,1,28,2,1459.665,0
8,0,43,2,6760,96,201,32,1,1,25,2,1078.24,0
5,0,43,0,1135,24,15,17,1,1,20,2,119.655,0
7,0,44,0,970,24,28,14,1,1,18,2,151.76,0
5,0,43,0,260,10,15,6,1,1,22,2,79.65,1
8,0,43,1,7768,137,399,49,1,1,28,2,1912.2,0
12,0,43,2,11725,164,26,53,1,1,19,2,362.225,0
13,0,43,2,6978,85,123,43,1,1,19,2,871.335,0
28,1,39,0,1215,57,31,23,1,1,28,2,174.88,1
26,0,42,9,10695,103,16,48,2,1,21,2,185.97,0
18,0,42,2,6078,108,41,30,1,1,26,2,462.87,0
6,0,40,1,3100,32,15,20,1,1,28,2,185.28,0
14,1,41,0,3250,51,24,22,1,1,20,2,228.04,1
14,1,42,0,2528,54,49,37,1,1,20,2,187.05,1
5,0,42,0,393,12,15,8,1,1,27,2,76.2,1
6,0,42,1,1928,35,15,12,1,1,20,2,86.575,0
8,0,39,2,7045,107,29,28,1,1,26,2,150.78,0
5,0,42,0,888,17,24,10,1,1,18,2,82.625,1
5,0,42,2,0,14,19,8,1,1,26,2,37.68,0
30,1,37,4,16335,248,15,86,1,1,20,2,813.735,0
11,1,40,4,7225,126,286,39,2,1,20,2,1438.04,0
7,0,42,1,3978,92,17,34,1,1,26,2,230.8,0
8,0,41,0,1925,54,53,26,1,1,23,2,291.16,0
11,0,42,1,3040,63,190,29,1,1,23,2,994.635,0
9,0,33,2,1575,46,208,17,2,1,23,2,896.84,0
9,0,32,1,1828,49,45,74,1,1,27,2,95.655,0
16,0,33,0,960,35,25,13,1,1,17,2,139.8,0
5,0,32,0,1085,20,36,9,1,1,25,2,117.625,0
15,0,31,1,1485,42,34,19,1,1,27,2,221.715,0
7,0,31,1,3485,71,23,29,1,1,28,2,234.24,0
7,0,24,1,1955,36,43,20,1,1,21,2,251.64,0
21,0,23,2,6653,151,100,48,2,1,24,2,756.18,0
17,0,21,1,9193,181,88,46,1,1,18,2,272.61,0
13,0,22,4,3113,55,46,25,1,1,27,2,310.72,0
7,0,15,2,4650,50,230,16,1,1,20,2,1108,0
8,1,15,2,1748,29,15,13,1,1,28,2,131.08,1
3,0,32,0,4110,61,0,11,1,1,16,2,187.695,0
0,0,33,0,0,0,0,0,1,1,26,2,0,0
5,0,31,0,2193,50,344,18,1,1,20,2,1648.935,0
5,0,32,0,3938,56,0,29,1,1,29,2,219.67,0
0,0,32,0,2133,48,0,27,1,1,18,2,119.955,0
6,0,32,0,3515,72,17,22,1,1,16,2,237.915,0
0,0,32,0,2100,29,270,12,1,1,17,2,1165.16,0
8,0,31,1,8855,111,129,37,1,1,23,2,874.64,0
2,0,32,0,13513,159,0,38,1,1,23,2,546.88,0
2,0,32,0,4255,73,0,19,1,1,26,2,173.12,0
1,0,32,0,5658,85,0,6,1,1,25,2,258.435,0
4,0,32,0,1978,44,0,11,1,1,23,2,80.88,0
20,0,32,2,14880,215,39,26,1,1,19,2,759.8,0
0,0,32,0,2835,17,468,2,1,1,27,2,1986.08,0
4,0,31,0,15225,172,135,24,1,1,24,2,1300.365,0
0,0,31,0,6240,76,171,20,1,1,21,2,936.64,0
0,0,31,0,615,4,0,5,1,1,18,2,27.855,0
0,0,32,0,450,4,0,2,1,1,29,2,20.43,0
0,0,31,0,0,69.49568828,0,0,1,1,16,2,0,1
0,0,31,0,7248,117,369,37,1,1,24,2,1991.925,0
2,0,31,0,11205,144,73.26223776,41,1,1,21,2,453.96,0
3,0,31,0,6458,65,93,31,1,1,23,2,712.035,0
18,1,27,0,695,37,1,11,1,1,24,2,37.44,1
16,0,30,7,10175,83,0,36,1,1,28,2,256.45,0
8,1,30,0,5558,88,11,18,1,1,23,2,303.57,1
0,0,28,0,2580,12,0,8,1,1,23,2,103.68,0
4,0,29,0,2730,31,0,10,1,1,23,2,124.245,1
4,1,30,0,2008,34,19,25,1,1,18,2,157.68,1
0,0,30,0,0,0,0,0,1,1,27,2,0,1
0,0,30,0,0,0,0,0,1,1,17,2,0,0
0,0,27,0,6525,87,0,16,1,1,19,2,165.3,0
0,1,30,0,0,0,0,0,1,1,29,2,0,1
0,1,30,0,0,0,0,0,1,1,28,2,0,1
20,0,25,2,15815,228,0,74,1,1,28,2,721.935,0
1,0,28,2,6705,106,256,27,2,1,22,2,1458.495,0
0,0,30,0,3458,72,0,22,1,1,20,2,158.85,0
0,0,29,0,1405,34,23,14,1,1,19,2,149.56,0
1,0,30,0,2520,43,160,17,1,1,25,2,835.335,0
0,0,21,0,1055,26,178,5,2,1,28,2,849.645,0
0,0,20,0,1308,29,15,62,1,1,21,2,70.925,0
6,0,21,0,440,15,0,1,1,1,29,2,20.475,0
0,0,20,0,0,0,6,0,1,1,22,2,15,0
5,0,19,0,965,22,4,7,1,1,17,2,62.415,0
0,0,19,0,2965,51,0,17,1,1,18,2,120.64,0
0,0,12,0,0,16,13,8,1,1,18,2,123.795,0
11,0,11,0,6133,131,70,36,2,1,17,2,729.52,0
7,0,9,0,8673,161,58,34,1,1,24,2,365.85,0
3,0,10,2,2593,35,16,13,1,1,16,2,169.12,0
0,0,3,0,4130,30,200,4,1,1,21,2,966.4,0
0,1,3,0,1228,9,0,1,1,1,17,2,55.665,1
10,0,41,0,4550,79,16,22,1,1,21,2,249.16,0
2,0,42,0,498,13,18,9,1,1,22,2,103.995,0
12,0,40,0,2633,68,370,29,1,1,23,2,1588.04,0
12,0,41,0,4378,74,12,40,1,1,22,2,310.86,0
5,0,41,0,2573,66,13,38,1,1,20,2,216.645,0
13,0,41,1,3955,90,43,33,1,1,26,2,333.8,0
6,0,41,0,2540,47,296,23,1,1,18,2,1287.48,0
15,0,40,2,9295,129,155,48,1,1,17,2,996.96,0
9,0,41,0,13953,177,11,49,1,1,25,2,609.2,0
9,0,41,1,4695,91,13,30,1,1,35,3,243.44,0
8,0,41,0,6098,103,18,17,1,1,27,2,320.04,0
11,0,41,0,2418,62,19,22,1,1,23,2,175.2,0
27,0,41,3,15320,233,65,37,1,1,24,2,882.12,0
6,0,41,1,3275,35,494,13,1,1,17,2,2108.4,0
11,0,40,0,15665,190,161,35,1,1,20,2,1437.975,0
5,0,40,1,6680,94,197,31,1,1,22,2,1058.96,0
2,0,40,0,1055,22,11,16,1,1,18,2,97.965,0
4,0,41,0,890,22,24,13,1,1,29,2,132.48,0
2,0,40,0,180,8,11,5,1,1,26,2,57.96,1
5,0,40,0,7688,135,395,48,1,1,28,2,2129.535,0
9,0,40,1,11645,162,22,52,1,1,20,2,350.175,0
10,0,40,1,6898,83,119,42,1,1,27,2,849.645,0
25,1,36,0,1135,55,27,22,1,1,17,2,175.05,1
23,0,39,8,10615,101,12,47,1,1,23,2,178.74,0
15,0,39,1,5998,106,37,29,1,1,24,2,441.18,0
3,0,37,0,3020,30,11,19,1,1,19,2,166,0
11,1,38,0,3170,49,20,21,1,1,27,2,208.76,1
11,1,39,0,2448,52,45,36,1,1,21,2,280,1
2,1,39,0,313,10,11,7,1,1,18,2,56.92,1
3,0,39,0,1848,33,11,11,1,1,21,2,119.24,0
5,0,36,1,6965,105,25,27,1,1,29,2,143.55,0
2,0,39,0,808,15,20,9,1,1,23,2,70.575,1
2,0,39,1,518,12,15,7,1,1,18,2,30.45,0
27,1,34,3,16255,246,11,85,1,1,20,2,792.045,0
8,0,37,3,7145,124,282,38,2,1,28,2,1596.105,0
4,0,39,0,3898,90,13,33,1,1,21,2,237.96,0
5,0,38,0,1845,52,49,25,1,1,18,2,271.88,0
8,0,39,0,2960,61,186,28,1,1,28,2,972.945,0
6,1,30,1,1495,44,204,16,2,1,22,2,987.255,1
6,0,29,0,1748,47,41,73,1,1,29,2,147.375,0
13,0,30,0,880,33,21,12,1,1,23,2,135.585,0
2,0,29,0,1005,18,32,8,1,1,16,2,105.575,0
12,0,28,0,1405,40,30,18,1,1,29,2,200.025,0
4,0,28,0,0,69,19,28,1,1,23,2,214.96,0
4,0,21,0,1875,34,39,19,1,1,28,2,261.405,0
18,0,20,1,6573,149,96,47,2,1,19,2,734.49,0
14,0,18,0,9113,179,84,45,1,1,24,2,442.3,0
10,0,19,3,3033,53,42,24,1,1,23,2,291.44,0
4,0,12,1,4570,48,226,15,1,1,16,2,1088.72,0
5,0,12,1,1668,27,11,12,1,1,21,2,111.8,1
6,0,35,0,4190,63,0,12,1,1,16,2,170.12,0
0,0,36,0,0,0,0,0,1,1,29,2,0,0
8,0,34,0,2273,52,348,19,1,1,27,2,1485,0
8,0,35,0,4018,58,0,30,1,1,27,2,224.18,0
1,0,35,0,2213,50,0,28,1,1,16,2,124.465,0
9,0,35,1,3595,74,21,23,1,1,24,2,230.76,0
2,0,35,0,2180,31,274,13,1,1,29,2,1184.44,0
11,0,34,2,8935,113,133,38,1,1,24,2,893.92,0
5,0,35,0,13593,161,0,39,1,1,23,2,550.16,0
5,0,35,1,4335,75,0,20,1,1,16,2,176.4,0
4,0,35,0,5738,87,0,7,1,1,25,2,233,0
7,0,35,0,2058,46,0,12,1,1,19,2,84.16,0
23,0,35,3,14960,217,43,27,1,1,20,2,779.08,0
2,0,35,1,2915,19,472,3,1,1,25,2,2005.36,0
7,0,34,0,15305,174,139,25,1,1,18,2,1322.055,0
1,0,34,1,6320,78,175,21,1,1,20,2,955.92,0
0,0,34,0,695,6,0,6,1,1,29,2,31.545,0
0,0,35,0,530,6,2,3,1,1,16,2,29.44,0
0,1,34,0,0,69.49568828,0,0,1,1,17,2,0,1
1,0,34,0,7328,119,373,38,1,1,16,2,2013.615,0
5,0,34,1,11285,146,0,42,1,1,25,2,285.775,0
6,0,34,1,6538,67,97,32,1,1,21,2,733.725,0
21,1,30,0,775,39,5,12,1,1,21,2,59.13,1
19,0,33,8,10255,85,0,37,1,1,18,2,155.1,0
11,1,33,1,5638,90,15,19,1,1,25,2,325.26,1
0,0,31,0,2660,14,0,9,1,1,28,2,106.96,0
7,0,32,0,2810,33,0,11,1,1,28,2,113.72,1
7,1,33,0,2088,36,23,26,1,1,18,2,176.96,1
0,0,33,0,0,0,0,0,1,1,20,2,0,1
0,0,33,0,1488,17,0,1,1,1,18,2,60.2,0
1,0,30,1,0,89,3,17,1,1,26,2,104.91,0
0,0,33,0,0,0,0,0,1,1,28,2,0,1
0,0,33,0,0,0,0,0,1,1,25,2,0,0
23,0,28,3,15895,230,0,75,1,1,25,2,725.625,0
4,0,31,3,6785,108,260,28,2,1,27,2,1480.185,0
0,0,33,0,3538,74,0,23,1,1,21,2,162.54,0
1,0,32,0,1485,36,27,15,1,1,29,2,168.84,0
4,0,33,0,2600,45,164,18,1,1,21,2,857.025,0
2,0,24,1,1135,28,182,6,2,1,21,2,871.335,0
2,0,23,0,1388,31,19,63,1,1,27,2,82.975,0
9,0,24,0,520,17,0,2,1,1,24,2,24.165,0
0,0,23,0,0,0,10,0,1,1,23,2,25,0
8,0,22,0,1045,24,8,8,1,1,28,2,84.105,0
0,0,22,0,3045,53,0,18,1,1,28,2,123.92,0
0,0,15,0,1515,18,17,9,1,1,16,2,145.485,0
14,0,14,1,6213,133,74,37,2,1,26,2,618.57,0
10,0,12,0,8753,163,62,35,1,1,20,2,377.9,0
6,0,13,3,2673,37,20,14,1,1,27,2,188.4,0
