Age,Gender,Income,CityTier,BrowsingTime,PastPurchases,ProductInterest,Purchase
66,Female,133689,Tier3,11.81,8,3,0
54,Female,66514,Tier2,15.87,8,2,1
66,Male,108236,Tier2,12.98,17,5,0
34,Female,117579,Tier1,3.0,9,5,1
66,Male,148644,Tier1,13.68,3,5,0
19,Female,26469,Tier2,3.82,11,4,0
19,Female,50105,Tier3,12.75,7,5,0
45,Male,62101,Tier3,18.19,1,3,0
40,Male,84323,Tier3,17.8,12,1,1
54,Male,111922,Tier3,20.22,15,5,1
49,Female,78067,Tier1,3.76,1,9,0
50,Male,69376,Tier2,19.91,10,9,1
18,Female,65587,Tier3,10.05,9,4,1
36,Female,56976,Tier1,12.57,14,3,1
19,Male,124587,Tier3,25.88,16,1,1
61,Male,147534,Tier2,1.26,7,2,0
43,Female,87584,Tier1,18.06,17,8,1
49,Female,124537,Tier2,18.36,8,1,1
23,Male,98477,Tier2,12.5,7,8,1
49,Male,130911,Tier1,7.87,13,7,1
21,Male,62533,Tier1,7.81,17,8,1
28,Male,21828,Tier1,26.63,19,6,1
34,Male,21917,Tier1,13.82,19,9,1
55,Female,40618,Tier1,10.6,11,3,0
41,Female,52254,Tier1,14.01,18,10,0
22,Female,125292,Tier1,20.41,13,4,1
69,Female,136714,Tier3,5.23,16,6,1
51,Male,67362,Tier2,14.03,2,8,1
23,Male,40128,Tier1,18.05,6,5,0
39,Male,143781,Tier3,28.51,16,3,1
28,Female,131281,Tier3,8.32,11,6,1
65,Female,79383,Tier3,11.42,8,4,0
33,Male,85545,Tier2,12.0,14,9,1
50,Male,102180,Tier1,18.56,17,3,1
26,Female,107958,Tier3,11.35,12,4,0
23,Female,29865,Tier2,16.47,7,7,0
33,Male,22219,Tier2,23.67,13,7,1
46,Male,59809,Tier2,21.46,7,4,1
20,Female,136748,Tier3,13.94,13,6,1
37,Male,25287,Tier1,26.06,6,3,0
53,Male,146593,Tier3,17.19,11,6,1
36,Male,54387,Tier3,16.66,10,2,0
43,Female,28512,Tier1,1.99,10,8,1
20,Female,21342,Tier1,29.61,12,2,1
36,Female,83076,Tier1,4.57,17,7,1
37,Female,128872,Tier2,7.7,1,9,1
49,Female,39216,Tier1,2.5,14,1,0
24,Female,137512,Tier3,19.56,19,8,0
69,Female,136682,Tier1,7.52,17,7,1
58,Male,113070,Tier3,6.22,14,6,1
50,Male,99767,Tier2,3.57,18,6,0
57,Male,117829,Tier3,4.0,11,6,0
56,Male,46614,Tier3,17.96,12,9,1
35,Male,56258,Tier1,20.96,10,2,0
57,Male,113789,Tier1,12.52,4,1,1
18,Male,62078,Tier3,14.92,0,6,0
28,Female,126288,Tier1,20.89,2,10,1
45,Female,103524,Tier2,1.5,18,8,0
42,Male,116573,Tier2,10.37,6,3,0
67,Male,32219,Tier1,29.22,11,10,1
40,Female,20235,Tier2,17.82,14,1,0
48,Male,62929,Tier1,8.37,4,9,0
47,Male,147309,Tier3,16.13,14,1,1
59,Female,87444,Tier3,10.94,7,3,0
52,Male,28567,Tier2,16.44,9,8,1
24,Female,121834,Tier1,4.65,15,3,0
33,Male,90792,Tier1,4.85,7,4,0
43,Female,85441,Tier2,5.16,0,8,0
65,Female,104555,Tier3,28.25,11,1,1
69,Female,93698,Tier2,22.25,4,6,0
66,Male,144450,Tier3,5.71,2,1,1
19,Female,137248,Tier1,6.46,0,1,1
18,Male,25415,Tier3,22.19,3,8,0
65,Male,56159,Tier2,5.53,7,4,1
29,Male,63925,Tier1,7.8,2,1,1
22,Male,146523,Tier2,28.94,9,10,1
54,Female,25951,Tier2,8.4,1,7,0
49,Female,107388,Tier3,20.19,10,5,1
26,Male,28007,Tier2,29.38,9,5,1
58,Male,146730,Tier3,11.85,13,1,1
52,Female,61832,Tier1,1.51,6,10,0
36,Male,78596,Tier3,8.08,1,6,1
65,Female,141101,Tier1,25.1,8,9,0
33,Male,50523,Tier3,26.07,15,9,0
20,Male,108861,Tier2,23.29,12,8,1
37,Female,144194,Tier3,4.28,8,5,0
41,Male,106740,Tier3,24.07,19,1,0
50,Female,35524,Tier1,27.64,3,9,1
41,Male,149028,Tier2,18.42,9,1,1
69,Male,39282,Tier3,28.29,11,8,1
28,Male,43930,Tier2,24.98,16,5,1
66,Female,20077,Tier3,20.34,13,3,0
25,Male,125881,Tier3,17.74,13,7,1
53,Male,145501,Tier2,11.11,1,7,0
55,Male,40611,Tier3,5.62,19,9,0
57,Male,36984,Tier2,18.54,10,7,1
37,Female,34060,Tier3,10.23,15,3,1
52,Female,102985,Tier1,26.13,18,1,1
65,Male,104056,Tier2,29.81,5,8,1
42,Female,145329,Tier3,22.82,18,3,1
52,Male,63303,Tier3,3.62,4,8,1
42,Male,79207,Tier1,9.37,3,8,0
46,Male,95046,Tier2,4.16,14,5,1
35,Female,49287,Tier3,19.86,3,1,0
63,Female,113709,Tier1,23.19,19,10,0
35,Female,59711,Tier3,27.84,9,7,1
19,Female,31954,Tier2,13.71,2,10,1
52,Female,93340,Tier3,27.14,4,5,1
33,Female,92101,Tier3,26.46,5,8,0
58,Female,91520,Tier3,10.2,7,9,1
53,Female,107062,Tier3,26.2,6,7,1
50,Female,122974,Tier1,11.89,9,7,1
21,Male,38574,Tier1,9.61,5,1,0
50,Female,29184,Tier2,19.82,13,4,0
31,Female,39096,Tier1,10.52,3,2,1
38,Female,87728,Tier1,19.28,12,2,1
65,Female,54016,Tier2,18.69,19,2,0
37,Female,31246,Tier1,17.34,16,4,1
25,Female,65558,Tier1,12.03,6,1,1
24,Female,138721,Tier2,16.91,3,4,0
20,Female,38381,Tier2,18.3,13,2,1
34,Female,147796,Tier2,16.82,2,5,0
50,Female,56455,Tier3,13.89,4,3,1
65,Female,112263,Tier3,1.43,15,8,1
29,Male,24018,Tier2,18.02,19,4,1
68,Male,31302,Tier2,5.88,3,1,0
39,Female,87506,Tier2,19.63,1,1,0
39,Female,61157,Tier3,23.02,17,10,0
63,Male,74917,Tier3,15.51,18,3,0
47,Female,112738,Tier1,16.73,18,9,0
55,Male,116646,Tier1,28.59,16,7,1
55,Male,103122,Tier2,25.57,13,2,0
62,Male,44519,Tier3,27.51,18,9,0
68,Male,116809,Tier3,24.6,12,10,1
25,Male,107487,Tier3,4.16,11,2,0
44,Female,76819,Tier2,5.32,5,3,1
44,Male,100910,Tier1,16.27,3,10,1
51,Female,140430,Tier2,8.14,18,2,0
38,Female,91324,Tier1,14.82,15,3,1
47,Male,25408,Tier1,12.44,12,6,0
50,Male,79379,Tier2,16.93,3,9,0
45,Female,45053,Tier1,22.66,16,9,1
64,Male,29446,Tier1,21.75,0,7,1
50,Male,20922,Tier3,16.12,17,3,0
22,Female,118723,Tier1,24.85,19,4,0
65,Female,71356,Tier2,13.5,16,6,1
36,Male,30789,Tier2,27.0,14,5,0
21,Female,117720,Tier1,3.07,10,2,1
52,Male,86656,Tier3,28.69,12,6,0
66,Male,64028,Tier3,19.99,0,3,0
34,Male,84484,Tier1,12.02,16,8,1
61,Female,52154,Tier1,6.72,5,2,0
45,Female,102870,Tier2,14.9,3,1,1
47,Female,22336,Tier1,6.64,19,9,0
46,Female,123677,Tier3,5.82,15,3,1
63,Female,87779,Tier1,18.9,14,1,1
23,Male,39029,Tier2,16.17,14,7,1
52,Male,79201,Tier2,20.43,5,10,1
58,Male,52265,Tier2,27.96,14,5,1
54,Male,122916,Tier2,16.44,13,5,1
41,Female,132250,Tier2,17.85,10,1,0
46,Male,136553,Tier1,3.6,6,9,1
66,Female,63872,Tier1,21.81,8,7,1
63,Male,66197,Tier1,12.6,15,8,1
48,Female,145733,Tier1,29.33,4,9,1
52,Female,75180,Tier2,24.87,19,6,0
50,Male,43710,Tier3,16.15,9,5,0
69,Male,49486,Tier1,4.57,17,6,0
38,Male,91907,Tier3,25.92,2,2,1
49,Male,148876,Tier1,24.19,12,4,0
40,Female,91895,Tier1,6.35,10,3,0
50,Male,84435,Tier3,9.56,16,7,1
20,Male,60631,Tier2,24.01,12,9,0
35,Female,149038,Tier1,6.37,5,5,1
42,Male,121532,Tier1,27.61,16,6,1
59,Male,40103,Tier1,13.31,12,10,1
48,Male,84772,Tier3,3.52,18,2,1
20,Male,146108,Tier2,24.66,18,3,1
57,Male,34382,Tier3,11.83,9,3,1
63,Female,104291,Tier3,16.27,2,9,1
41,Male,121195,Tier2,4.26,13,7,1
67,Male,23756,Tier3,1.07,18,8,0
49,Male,40609,Tier2,19.5,4,10,1
64,Male,134074,Tier1,15.94,4,9,1
39,Male,36478,Tier2,18.21,19,6,0
40,Female,120978,Tier1,24.02,16,4,0
19,Male,59666,Tier3,19.75,9,1,1
44,Female,95683,Tier3,6.07,4,8,0
59,Female,119097,Tier1,11.46,3,7,0
19,Male,144714,Tier3,27.27,5,2,0
43,Male,120420,Tier2,23.33,3,8,1
34,Male,91315,Tier1,17.14,6,5,1
57,Male,97834,Tier3,8.41,6,7,1
50,Female,146205,Tier1,9.76,17,4,1
26,Male,34153,Tier2,22.23,2,5,0
60,Male,129415,Tier2,25.68,0,8,1
65,Male,96325,Tier3,20.47,3,1,0
56,Male,129701,Tier2,24.48,5,1,1
46,Male,32999,Tier1,23.23,8,4,1
59,Male,75318,Tier2,5.34,13,3,0
43,Female,20814,Tier1,13.29,11,10,1
52,Female,135033,Tier1,5.44,19,2,1
67,Male,96077,Tier2,7.82,3,3,0
42,Male,110474,Tier3,26.21,11,1,1
41,Male,22443,Tier2,14.71,9,1,1
30,Female,95993,Tier1,16.53,6,6,0
24,Male,95916,Tier1,6.17,2,5,1
53,Female,93319,Tier2,10.06,13,8,0
62,Male,145885,Tier3,7.68,9,2,1
37,Male,129777,Tier3,6.98,15,4,1
18,Male,37368,Tier1,19.5,15,8,1
25,Male,35328,Tier1,8.45,9,6,0
63,Female,76942,Tier3,19.33,12,1,0
33,Female,111751,Tier2,2.7,5,4,1
31,Male,119131,Tier1,5.11,11,1,1
29,Male,47306,Tier1,8.96,8,2,0
68,Female,105451,Tier3,18.31,12,5,1
40,Female,59915,Tier2,20.6,3,8,1
32,Female,57219,Tier3,13.84,10,8,1
45,Female,100879,Tier2,13.93,19,3,0
51,Male,131939,Tier2,22.01,17,4,1
19,Female,84644,Tier2,1.46,10,10,1
49,Male,80279,Tier1,10.89,3,6,1
40,Female,73028,Tier3,24.74,17,10,1
39,Female,124263,Tier3,18.49,0,3,0
68,Female,20126,Tier2,10.78,6,2,0
42,Female,72329,Tier1,27.26,5,6,1
39,Female,47632,Tier1,23.41,14,5,1
39,Male,127099,Tier3,8.68,17,10,1
66,Male,85310,Tier1,19.71,10,5,1
69,Female,129945,Tier1,18.28,19,10,1
59,Female,75176,Tier2,12.63,14,5,0
23,Male,139797,Tier1,11.64,15,10,1
32,Female,106066,Tier2,10.96,6,5,0
60,Female,125500,Tier3,18.9,9,3,0
54,Male,146413,Tier1,13.83,11,7,1
50,Female,64327,Tier3,25.12,13,6,1
25,Female,88904,Tier3,20.42,4,4,1
61,Male,23797,Tier1,3.03,17,2,0
61,Male,67882,Tier1,19.56,4,9,0
22,Male,33718,Tier3,8.86,2,1,0
56,Female,54560,Tier1,18.19,4,4,1
21,Male,96589,Tier2,20.72,16,1,0
23,Male,42116,Tier2,7.69,18,6,1
62,Male,56244,Tier1,14.25,18,4,1
49,Male,121721,Tier3,6.52,11,5,1
69,Male,21645,Tier1,2.52,8,5,0
47,Male,67523,Tier1,11.98,0,9,0
64,Female,144085,Tier3,11.53,17,1,1
52,Female,137718,Tier3,29.87,3,2,1
57,Male,39256,Tier2,13.94,9,6,1
69,Male,121376,Tier3,10.67,6,5,1
33,Male,120158,Tier2,17.83,0,7,1
30,Female,73173,Tier3,3.57,16,3,1
67,Female,57430,Tier1,28.89,1,3,1
59,Female,59282,Tier2,19.41,10,10,0
47,Female,139719,Tier2,22.89,8,2,1
36,Female,83374,Tier2,5.94,6,3,0
34,Female,88244,Tier1,12.87,16,10,1
36,Female,31694,Tier1,13.26,16,1,1
45,Female,76264,Tier1,24.83,1,5,0
43,Female,95060,Tier1,1.04,5,5,1
54,Male,117416,Tier1,9.72,13,7,0
43,Male,77545,Tier2,29.46,5,4,1
40,Male,138195,Tier1,14.77,1,3,1
26,Male,59224,Tier2,12.09,0,1,0
29,Female,122516,Tier1,4.48,9,8,1
18,Female,117945,Tier3,29.25,4,3,0
18,Male,33224,Tier2,1.58,1,2,0
64,Female,60738,Tier3,22.38,15,4,1
51,Male,45150,Tier2,23.29,1,3,0
49,Female,83731,Tier3,8.07,9,1,0
65,Male,69688,Tier1,20.48,1,3,1
42,Female,119929,Tier1,3.69,15,2,1
57,Female,128618,Tier1,8.45,15,8,1
62,Male,93509,Tier2,23.85,18,6,1
18,Female,28577,Tier3,26.08,6,9,0
